financial_year,sending_location,option_type,nclient,rate
2017/18,Glasgow City,Any SDS,3685,5.9
2017/18,Glasgow City,Option 1,650,1
2017/18,Glasgow City,Option 2,1555,2.5
2017/18,Glasgow City,Option 3,1595,2.6
2017/18,Glasgow City,Option 4,0,0
2017/18,Highland,Any SDS,8290,35.2
2017/18,Highland,Option 1,675,2.9
2017/18,Highland,Option 2,250,1.1
2017/18,Highland,Option 3,7390,31.4
2017/18,Highland,Option 4,25,0.1
2017/18,Inverclyde,Any SDS,2515,31.9
2017/18,Inverclyde,Option 1,75,1
2017/18,Inverclyde,Option 2,155,2
2017/18,Inverclyde,Option 3,2365,30
2017/18,Inverclyde,Option 4,80,1
2017/18,Midlothian,Any SDS,2430,27
2017/18,Midlothian,Option 1,130,1.4
2017/18,Midlothian,Option 2,110,1.2
2017/18,Midlothian,Option 3,2275,25.3
2017/18,Midlothian,Option 4,85,0.9
2017/18,Moray,Any SDS,1205,12.6
2017/18,Moray,Option 1,235,2.5
2017/18,Moray,Option 2,225,2.3
2017/18,Moray,Option 3,910,9.5
2017/18,Moray,Option 4,155,1.6
2017/18,North Ayrshire,Any SDS,7130,52.5
2017/18,North Ayrshire,Option 1,205,1.5
2017/18,North Ayrshire,Option 2,25,0.2
2017/18,North Ayrshire,Option 3,7130,52.5
2017/18,North Ayrshire,Option 4,230,1.7
2017/18,North Lanarkshire,Any SDS,1260,3.7
2017/18,North Lanarkshire,Option 1,235,0.7
2017/18,North Lanarkshire,Option 2,835,2.5
2017/18,North Lanarkshire,Option 3,215,0.6
2017/18,North Lanarkshire,Option 4,20,0.1
2017/18,Orkney Islands,Any SDS,115,5.2
2017/18,Orkney Islands,Option 1,95,4.3
2017/18,Orkney Islands,Option 2,25,1.1
2017/18,Orkney Islands,Option 3,0,0
2017/18,Orkney Islands,Option 4,5,0.2
2017/18,Perth and Kinross,Any SDS,4645,30.7
2017/18,Perth and Kinross,Option 1,335,2.2
